title,english_title,romaji_title,genres,rating_anilist,rating_mal,episodes,status,format,season,year,synopsis,studio,source_material,popularity_anilist,mal_members,mal_rank,cover_image_url,start_date,end_date,duration_per_ep,age_rating,mal_id
Overlord,Overlord,Overlord,Action | Adventure | Fantasy,7.7,7.9,13.0,FINISHED,TV,SUMMER,2015.0,"The story takes place in the year 2138 when virtual reality gaming is booming. Yggdrasil, a popular online game is quietly shut down one day. However, the protagonist Momonga decides to not log out. Momonga is then transformed into the image of a skeleton as ""the most powerful wizard."" The world continues to change, with non-player characters (NPCs) beginning to feel emotion. Having no parents, friends, or place in society, this ordinary young man Momonga then strives to take over the new world the game has become. (Source: Anime News Network)",MADHOUSE,LIGHT_NOVEL,384005,1759852.0,955.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20832-vUNm5zrYWifc.jpg,2015-07-07,2015-09-29,24.0,R - 17+ (violence & profanity),29803.0
Anohana: The Flower We Saw That Day,Anohana: The Flower We Saw That Day,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Drama | Romance | Slice of Life | Supernatural,8.0,8.29,11.0,FINISHED,TV,SPRING,2011.0,"Jinta Yadomi and his group of childhood friends have become estranged after a tragic accident split them apart. Now in their high school years, a sudden surprise forces each of them to confront their guilt over what happened that day and come to terms with the ghosts of their past. (Source: NIS America)",A-1 Pictures,ORIGINAL,381869,1710832.0,331.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx9989-hImMg6kCMm6I.jpg,2011-04-15,2011-06-24,22.0,PG-13 - Teens 13 or older,9989.0
The Devil is a Part-Timer!,The Devil is a Part-Timer!,Hataraku Maou-sama!,Comedy | Fantasy | Romance | Slice of Life,7.5,7.7,13.0,FINISHED,TV,SPRING,2013.0,"Devil King Sadao is only one step away from conquering the world when he is beaten by Hero Emilia and forced to drift to the other world: modern-day Tokyo. As ""conquering the world"" are the only skills the Devil King possesses&mdash;and are obviously unnecessary in his new situation&mdash;he must work as a freeter to pay for his living expenses!",WHITE FOX,LIGHT_NOVEL,381656,1658941.0,1479.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx15809-ECv3HyOYJKrk.jpg,2013-04-04,2013-06-27,24.0,PG-13 - Teens 13 or older,15809.0
Is It Wrong to Try to Pick Up Girls in a Dungeon?,Is It Wrong to Try to Pick Up Girls in a Dungeon?,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Action | Adventure | Comedy | Fantasy | Romance,7.3,7.53,13.0,FINISHED,TV,SPRING,2015.0,"Some adventurers delve into the sprawling labyrinths beneath the city of Orario to find fame and fortune. Others come to test their skills against the legions of monsters lurking in the darkness below. However, Bell Cranel’s grandfather told him a different reason: it’s a great place to rescue (and subsequently meet) girls! Now that Bell’s a dungeon delver himself, the ladies he’s encountering aren’t the helpless damsels in distress he’d imagined, and one of them, the beautiful swordswoman Ais Wallenstein, keeps rescuing Bell instead. As embarrassing as that is, it’s nothing compared to what happens when goddesses get involved. Freya, Hephaistos, and Loki, with their powerful Familias, are intimidating enough, but there’s one goddess whose relationship with Bell is certain to spark trouble. (Source: Sentai Filmworks)",J.C.STAFF,LIGHT_NOVEL,379334,1656096.0,2130.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20920-MTREwZOG4BAD.jpg,2015-04-04,2015-06-27,24.0,PG-13 - Teens 13 or older,28121.0
Soul Eater,Soul Eater,Soul Eater,Action | Adventure | Comedy | Fantasy | Supernatural,7.7,7.86,51.0,FINISHED,TV,SPRING,2008.0,"Set in the Shinigami technical school for weapon meisters, the series revolves around 3 groups of each a weapon meister and a human weapon. Trying to make the latter a ""Death Scythe"" which is the highest title for a weapon and thus fit for use by the Shinigami, they must collect the souls of 99 evil humans and 1 witch. Maka &amp; Soul Eater, Black Star &amp; Tsubaki, and Death the Kid with Patty and Liz Thompson are the characters Soul Eater revolves around. Besides taking the time to gather souls, these students of Shibusen defend Death City from some of the most powerful of creatures while still attending school and trying to become stronger.",bones,MANGA,372361,1774633.0,1054.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx3588-fSMggQoFSbUI.png,2008-04-07,2009-03-30,24.0,PG-13 - Teens 13 or older,3588.0
Another,Another,Another,Horror | Mystery | Psychological | Supernatural | Thriller,7.1,7.46,12.0,FINISHED,TV,WINTER,2012.0,"When Kouichi Sakakibara transfers to a new school, he senses a frightening atmosphere in his new class, a secret none of them will talk about. At the center is the beautiful Mei Misaki. Kouichi is immediately drawn to her mysterious aura, but he begins to realize that no one else in the class is aware of her presence. Soon after his arrival, what is known as the Calamity begins, and it claims the lives of many students. (Source: Sentai Filmworks)",P.A.WORKS,LIGHT_NOVEL,370040,1787466.0,2463.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx11111-gvvE5bBYsyFo.png,2012-01-10,2012-03-27,24.0,R - 17+ (violence & profanity),11111.0
Fairy Tail,Fairy Tail,FAIRY TAIL,Action | Adventure | Comedy | Fantasy,7.2,7.57,175.0,FINISHED,TV,FALL,2009.0,"Across the Fiore kingdom, wizards join guilds and make their pay by filling magical needs—but one guild has a reputation as the roughest, rowdiest, most dangerous of all: Fairy Tail! When four young Fairy Tail members unite, their bond is forged by a power found in neither muscle nor magic and grows stronger with every mission. Whatever you do, don't mess with these friends or you'll get a taste of Natsu's flaming fist or Gray's ice hammer, suffer a painful blow from one of Lucy's celestial spirits or catch the edge of Erza's mighty blade! Whether they're stopping demons from devastating the world or wrestling in the mess hall, this mystical team manages to inflict as much damage to their rivals as they do to the surrounding area! (Source: Funimation)",Satelight,MANGA,363352,1847773.0,1950.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b6702-KI4qgSMyI8Pm.png,2009-10-12,2013-03-30,24.0,PG-13 - Teens 13 or older,6702.0
My Teen Romantic Comedy SNAFU,My Teen Romantic Comedy SNAFU,Yahari Ore no Seishun Love Come wa Machigatteiru.,Comedy | Drama | Romance | Slice of Life,7.8,8.0,13.0,FINISHED,TV,SPRING,2013.0,"This romantic comedy revolves around an antisocial high school student named Hikigaya Hachiman with a distorted view on life and no friends or girlfriend. When he sees his classmates talking excitedly about living their adolescent lives, he mutters: ""They're a bunch of liars."" When he is asked about his future dreams, he responds: ""Not working."" A teacher gets Hachiman to join the 'Volunteer Service' club, which happens to have the school's prettiest girl: Yukinoshita Yukino. (Source: Anime News Network)",Brain's Base,LIGHT_NOVEL,361494,1571574.0,765.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx14813-3mNvcKNEQcDs.jpg,2013-04-05,2013-06-28,24.0,PG-13 - Teens 13 or older,14813.0
KONOSUBA -God's blessing on this wonderful world! 2,KONOSUBA -God's blessing on this wonderful world! 2,Kono Subarashii Sekai ni Shukufuku wo! 2,Adventure | Comedy | Ecchi | Fantasy,8.1,8.24,10.0,FINISHED,TV,WINTER,2017.0,"When Kazuma Satou died, he was given two choices: pass on to heaven or be revived in a fantasy world. After choosing the new world, the goddess Aqua tasked him with defeating the Demon King, and let him choose any weapon to aid him. Unfortunately, Kazuma chose to bring Aqua herself and has regretted the decision ever since then. Not only is he stuck with a useless deity turned party archpriest, the pair also has to make enough money for living expenses. To add to their problems, their group continued to grow as more problematic adventurers joined their ranks. Their token spellcaster, Megumin, is an explosion magic specialist who can only cast one spell once per day and refuses to learn anything else. There is also their stalwart crusader, Lalatina ""Darkness"" Dustiness Ford, a helpless masochist who makes Kazuma look pure in comparison. Kono Subarashii Sekai ni Shukufuku wo! 2 continues to follow Kazuma and the rest of his party through countless more adventures as they struggle to earn money and have to deal with one another's problematic personalities. However, things rarely go as planned, and they are often sidetracked by their own idiotic tendencies.",Studio DEEN,LIGHT_NOVEL,360247,1657184.0,400.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21699-Fkbnkl9ZC6fW.png,2017-01-12,2017-03-16,23.0,PG-13 - Teens 13 or older,32937.0
Gurren Lagann,Gurren Lagann,Tengen Toppa Gurren Lagann,Action | Comedy | Drama | Mecha | Romance | Sci-Fi,8.5,8.64,27.0,FINISHED,TV,SPRING,2007.0,"In a far away future, mankind lives underground in huge caves, unknowing of a world above with a sky and stars. In the small village of Jiha, Simon, a shy boy who works as a digger discovers a strange glowing object during excavation. The enterprising Kamina, a young man with a pair of rakish sunglasses and the passion of a firey sun, befriends Simon and forms a small band of brothers, the Gurren Brigade, to escape the village and break through the ceiling of the cave to reach the surface, which few believe exist. The village elder won't hear of such foolishness and punishes the Brigade. However, when disaster strikes from the world above and the entire village is in jeopardy, it's up to Simon, Kamina, a girl with a big gun named Yoko, and the small yet sturdy robot, Lagann, to save the day. The new friends journey to the world above and find that the surface is a harsh battlefield, and it's up to them to fight back against the rampaging Beastmen to turn the tide in the humans' favor! Pierce the heavens, Gurren Lagann!",Gainax,ORIGINAL,360078,1770764.0,92.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx2001-XwRnjzGeFWRQ.png,2007-04-01,2007-09-30,24.0,PG-13 - Teens 13 or older,2001.0
Dororo,Dororo,Dororo,Action | Adventure | Drama | Supernatural,8.1,8.26,24.0,FINISHED,TV,WINTER,2019.0,"Dororo, a young orphan thief, meets Hyakkimaru, a powerful ronin. Hyakkimaru's father, a greedy feudal lord, had made a pact with 12 demons, offering his yet-unborn son's body parts in exchange for great power. Thus, Hyakkimaru - who was born without arms, legs, eyes, ears, a nose or a mouth - was abandoned in a river as a baby. Rescued and raised by Dr. Honma, who equips him with artificial limbs and teaches him sword-fighting techniques, Hyakkimaru discovers that each time he slays a demon, a piece of his body is restored. Now, he roams the war-torn countryside in search of demons.",MAPPA,MANGA,358091,1379736.0,367.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx101347-TGaDwEYqLfm1.jpg,2019-01-07,2019-06-24,24.0,R - 17+ (violence & profanity),37520.0
Re:ZERO -Starting Life in Another World- Season 2,Re:ZERO -Starting Life in Another World- Season 2,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,Action | Adventure | Drama | Fantasy | Psychological | Thriller,8.3,8.33,13.0,FINISHED,TV,SUMMER,2020.0,"Even after dying countless times, Subaru finally ended the threat of the White Whale and defeated the Witch Cult's Sin Archbishop representing sloth, Petelgeuse Romaneeconti. But only shortly after overcoming a tragic ending and reuniting with his beloved Emilia, Subaru learns that Rem has been erased from this world, having fallen victim to the White Whale's Fog of Elimination in the midst of Subaru's death loop. With the White Whale now gone, Subaru and Emilia are forced to confront a reality they never dreamed would happen.(Source: Crunchyroll)",WHITE FOX,LIGHT_NOVEL,355148,1286775.0,298.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx108632-lQWnmw7XaNOK.jpg,2020-07-08,2020-09-30,26.0,R - 17+ (violence & profanity),39587.0
Assassination Classroom Second Season,Assassination Classroom Second Season,Ansatsu Kyoushitsu 2nd Season,Action | Comedy | Drama | Supernatural,8.3,8.47,25.0,FINISHED,TV,WINTER,2016.0,"The second season of Ansatsu Kyoushitsu. The students return as school is back in session for the second semester. Following their exploits on the island during summer vacation, Class 3-E continues to sharpen their blades with their sights set on their teacher, the slippery Koro-sensei. They have more to worry about than just their teacher, however, as enemy assassins, both old and new, are out for the increased bounty on the octopus' head. Moreover, their rivals in Class A, as well as Kunugigaoka Junior High's fearsome principal, stand to block Class E from achieving academic excellence. With all of these obstacles opposing them, the group must continue to work together in order to overcome their foes and accomplish their goal of successfully assassinating their teacher.",Lerche,MANGA,354684,1571532.0,177.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21170-kbcfTTZGSaFt.jpg,2016-01-08,2016-07-01,23.0,PG-13 - Teens 13 or older,30654.0
I Want to Eat Your Pancreas,I Want to Eat Your Pancreas,Kimi no Suizou wo Tabetai,Drama | Romance | Slice of Life,8.4,8.56,1.0,FINISHED,MOVIE,SUMMER,2018.0,"Spring time in April and the last of the cherry blossoms are still in bloom. The usually aloof bookworm with no interest in others comes across a book in a hospital waiting room. Handwritten on the cover are the words: ""Living with Dying."" He soon discovers that it is a diary kept by his very popular and genuinely cheerful classmate, Sakura Yamauchi, who reveals to him that she is secretly suffering from a pancreatic illness and only has a limited time left. It is at this moment that she gains just one more person to share her secret. Trying to maintain a normal life as much as possible, Sakura is determined to live her life to the fullest until the very last day. As her free spirit and unpredictable actions throw him for a loop, his heart begins to gradually change. (Source: Aniplex USA)",Studio VOLN,OTHER,352272,1121578.0,131.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx99750-pNyly9d3MEgV.jpg,2018-09-01,2018-09-01,108.0,PG-13 - Teens 13 or older,36098.0
DAN DA DAN,DAN DA DAN,Dandadan,Action | Comedy | Drama | Romance | Sci-Fi | Supernatural,8.3,8.41,12.0,FINISHED,TV,FALL,2024.0,"This is a story about Momo, a high school girl who comes from a family of spirit mediums, and her classmate Okarun, an occult fanatic. After Momo rescues Okarun from being bullied, they begin talking. However, an argument ensues between them since Momo believes in ghosts but denies aliens exist, and Okarun believes in aliens but denies ghosts exist. To prove to each other what they believe in is real, Momo goes to an abandoned hospital where a UFO has been spotted and Okarun goes to a tunnel rumored to be haunted. To their surprise, they each encounter overwhelming paranormal activities that transcend comprehension. Amid these predicaments, Momo awakens her hidden power and Okarun gains the power of a curse to overcome these new dangers! Their fateful love begins as well!? The story of the occult battle and adolescence starts! (Source: Crunchyroll) Notes: - Worldwide premiere of Episode 1 before the Japanese television premiere occurred at Anime Expo July 6, 2024. - Episodes 1-3 titled as DAN DA DAN: FIRST ENCOUNTER was pre-screened in advance in theaters on August 31, 2024 in Asia, September 7, 2024 in Europe and September 13, 2024 in North America. The regular TV broadcast began October 4, 2024.",Science SARU,MANGA,350949,979403.0,219.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx171018-60q1B6GK2Ghb.jpg,2024-10-04,2024-12-20,24.0,R - 17+ (violence & profanity),57334.0
HAIKYU!! 3rd Season,HAIKYU!! 3rd Season,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,Comedy | Drama | Sports,8.7,8.77,10.0,FINISHED,TV,FALL,2016.0,"After the victory against Aoba Jousai High, Karasuno High School, once called “a fallen powerhouse, a crow that can’t fly,” has finally reached the climax of the heated Spring tournament. Now, to advance to nationals, the Karasuno team has to defeat the powerhouse Shiratorizawa Academy. Karasuno’s greatest hurdle is their adversary’s ace, Wakatoshi Ushijima, the number one player in the Miyagi Prefecture, and one of the country’s top three aces. Only the strongest team will make it to the national tournament. Since this match is the third-year players’ last chance to qualify for nationals, Karasuno has to use everything they learned during the training camp and prior matches to attain victory. Filled with restlessness and excitement, both teams are determined to come out on top in the third season of Haikyuu!!. [Written by MAL Rewrite]",Production I.G,MANGA,349373,1330456.0,44.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21698-RL71mr1YU5Io.png,2016-10-08,2016-12-10,25.0,PG-13 - Teens 13 or older,32935.0
Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,Kimetsu no Yaiba: Katanakaji no Sato-hen,Action | Adventure | Drama | Fantasy | Supernatural,8.1,8.15,11.0,FINISHED,TV,SPRING,2023.0,"Adaptation of the Swordsmith Village Arc. Tanjiro’s journey leads him to the Swordsmith Village, where he reunites with two Hashira, members of the Demon Slayer Corps’ highest-ranking swordsmen - Mist Hashira Muichiro Tokito and Love Hashira Mitsuri Kanroji. With the shadows of demons lurking near, a new battle begins for Tanjiro and his comrades. Notes: • The first episode has a runtime of ~49 minutes, and received an early premiere in cinemas worldwide as part of a special screening alongside the final two episodes of Kimetsu no Yaiba: Yuukaku-hen. • The final episode has a runtime of ~52 minutes.",ufotable,MANGA,348122,1119967.0,523.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx145139-rRimpHGWLhym.png,2023-04-09,2023-06-18,24.0,R - 17+ (violence & profanity),51019.0
Cyberpunk: Edgerunners,Cyberpunk: Edgerunners,Cyberpunk: Edgerunners,Action | Drama | Psychological | Sci-Fi,8.5,8.62,10.0,FINISHED,ONA,SUMMER,2022.0,"An original anime series set in in the universe of Cyberpunk 2077. Cyberpunk: Edgerunners tells a standalone, 10-episode story about a street kid trying to survive in a technology and body modification-obsessed city of the future. Having everything to lose, he chooses to stay alive by becoming an edgerunner—a mercenary outlaw also known as a cyberpunk. (Source: CD PROJEKT RED) Note: The first episode received a pre-screening at Anime Expo on July 2, 2022. The first 3 dubbed episodes were streamed on Twitch as part of a co-stream promotion on September 12, a day before the show’s premiere.",TRIGGER,VIDEO_GAME,347315,1059756.0,98.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx120377-ayZPoxiWt4Li.jpg,2022-09-13,2022-09-13,24.0,R+ - Mild Nudity,42310.0
Code Geass: Lelouch of the Rebellion R2,Code Geass: Lelouch of the Rebellion R2,Code Geass: Hangyaku no Lelouch R2,Action | Drama | Mecha | Sci-Fi | Thriller,8.7,8.92,25.0,FINISHED,TV,SPRING,2008.0,"A year has passed since ""The Black Rebellion"" and the remaining Black Knights have vanished into the shadows, their leader and figurehead, Zero, executed by the Britannian Empire. Area 11 is once more squirming under the Emperor's oppressive heel as the Britannian armies concentrate their attacks on the European front. But for the Britannians living in Area 11, life is back to normal. On one such normal day, a Britannian student, skipping his classes in the Ashford Academy, sneaks out to gamble on his chess play. But unknown to this young man, several forces are eying him from the shadows, for soon, he will experience a shocking encounter with his own obscured past, and the masked rebel mastermind Zero will return.",Sunrise,ORIGINAL,346428,1958812.0,21.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx2904-Fet9Q33suC7G.jpg,2008-04-06,2008-09-28,24.0,R - 17+ (violence & profanity),2904.0
Howl‘s Moving Castle,Howl‘s Moving Castle,Howl no Ugoku Shiro,Adventure | Drama | Fantasy | Romance,8.5,8.67,1.0,FINISHED,MOVIE,FALL,2004.0,"Sophie, a quiet girl working in a hat shop, finds her life thrown into turmoil when she is literally swept off her feet by a handsome but mysterious wizard named Howl. The vain and vengeful Witch of the Waste, jealous of their friendship, puts a spell on Sophie. In a life-changing adventure, Sophie climbs aboard Howl's magnificent flying castle and enters a magical world on a quest to break the spell. (Source: Disney)",Studio Ghibli,OTHER,346401,1493299.0,80.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx431-o8Lj3XkjHm2k.jpg,2004-11-20,2004-11-20,119.0,G - All Ages,431.0
PSYCHO-PASS,PSYCHO-PASS,PSYCHO-PASS,Action | Psychological | Sci-Fi | Thriller,8.1,8.33,22.0,FINISHED,TV,FALL,2012.0,"Justice, and the enforcement of it, has changed. In the 22nd century, Japan enforces the Sibyl System, an objective means of determining the threat level of each citizen by examining their mental state for signs of criminal intent, known as their Psycho-Pass. Inspectors uphold the law by subjugating, often with lethal force, anyone harboring the slightest ill-will; alongside them are Enforcers, jaded Inspectors that have become latent criminals, granted relative freedom in exchange for carrying out the Inspectors' dirty work. Into this world steps Akane Tsunemori, a young woman with an honest desire to uphold justice. However, as she works alongside veteran Enforcer Shinya Kougami, she soon learns that the Sibyl System's judgments are not as perfect as her fellow Inspectors assume. With everything she has known turned on its head, Akane wrestles with the question of what justice truly is, and whether it can be upheld through the use of a system that may already be corrupt. (Source: MAL Rewrite) Note: In the Summer 2014 season, Psycho-Pass was rebroadcast and re-edited to fit into an hour time-slot, ending up in 11 one-hour episodes. This edit included added scenes at the beginning and middle of the episodes, as well as fixing and improving animation.",Production I.G,ORIGINAL,343341,1751505.0,298.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx13601-i42VFuHpqEOJ.jpg,2012-10-12,2013-03-22,23.0,R - 17+ (violence & profanity),13601.0
Demon Slayer: Kimetsu no Yaiba Mugen Train Arc,Demon Slayer: Kimetsu no Yaiba Mugen Train Arc,Kimetsu no Yaiba: Mugen Ressha-hen (TV),Action | Adventure | Drama | Fantasy | Mystery | Supernatural,8.2,8.34,7.0,FINISHED,TV,FALL,2021.0,"In Demon Slayer: Kimetsu no Yaiba Mugen Train Arc, Tanjiro Kamado and his fellow Demon Slayer members embark on a mission aboard the Infinity Train. Their new mission is to investigate a series of mysterious disappearances, carried out by a demon that has been terrorizing passengers and killing the demon slayers who oppose it. Note: The first episode is entirely anime original. Episodes 2-7 are a re-edited version of the movie featuring new scenes and music.",ufotable,MANGA,339917,982333.0,286.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx129874-g6ZKXB94Hui1.jpg,2021-10-10,2021-11-28,23.0,R - 17+ (violence & profanity),49926.0
The Disastrous Life of Saiki K.,The Disastrous Life of Saiki K.,Saiki Kusuo no Ψ-nan,Comedy | Slice of Life | Supernatural,8.3,8.41,120.0,FINISHED,TV_SHORT,SUMMER,2016.0,"To the average person, psychic abilities might seem a blessing; for Kusuo Saiki, however, this couldn't be further from the truth. Gifted with a wide assortment of supernatural abilities ranging from telepathy to x-ray vision, he finds this so-called blessing to be nothing but a curse. As all the inconveniences his powers cause constantly pile up, all Kusuo aims for is an ordinary, hassle-free life—a life where ignorance is bliss. Unfortunately, the life of a psychic is far from quiet. Though Kusuo tries to stay out of the spotlight by keeping his powers a secret from his classmates, he ends up inadvertently attracting the attention of many odd characters, such as the empty-headed Riki Nendou and the delusional Shun Kaidou. Forced to deal with the craziness of the people around him, Kusuo comes to learn that the ordinary life he has been striving for is a lot more difficult to achieve than expected. Note: Aired in 2 versions, a 120-episode 5-minute short series, and a combined 24-episode 24-minute TV series with the same content.",J.C.STAFF,MANGA,339378,1256723.0,225.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21804-As6tDLAvEvNY.jpg,2016-07-04,2016-12-26,5.0,PG-13 - Teens 13 or older,33255.0
Hyouka,Hyouka,Hyouka,Mystery | Romance | Slice of Life,7.9,8.05,22.0,FINISHED,TV,SPRING,2012.0,"Energy-conservative high school student Houtarou Oreki ends up with more than he bargained for when he signs up for the Classic Literature Club at his sister's behest—especially when he realizes how deep-rooted the club's history really is. Begrudgingly, Oreki is dragged into an investigation concerning the 45-year-old mystery that surrounds the club room. Accompanied by his fellow club members, the knowledgeable Satoshi Fukube, the stern but benign Mayaka Ibara, and the ever-curious Eru Chitanda, Oreki must combat deadlines and lack of information with resourcefulness and hidden talent, in order to not only find the truth buried beneath the dust of works created years before them, but of other side cases as well. Based on the award-winning Koten-bu light novel series, and directed by Yasuhiro Takemoto of Suzumiya Haruhi no Shoushitsu, Hyouka shows that normal life can be full of small mysteries, be it family history, a student film, or even the withered flowers that make up a ghost story. (Source: MAL Rewrite)",Kyoto Animation,LIGHT_NOVEL,338478,1482164.0,678.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx12189-zj5AWUYO53Fv.jpg,2012-04-23,2012-09-16,26.0,PG-13 - Teens 13 or older,12189.0
Weathering With You,Weathering With You,Tenki no Ko,Drama | Romance | Slice of Life | Supernatural,8.1,8.27,1.0,FINISHED,MOVIE,SUMMER,2019.0,"High school student Hodaka leaves his home on an isolated island and moves to Tokyo, but he immediately becomes broke. He lives his days in isolation, but finally finds a job as a writer for a shady occult magazine. After he starts his job, the weather has been rainy day after day. In a corner of the crowded and busy city, Hodaka meets a young woman named Hina. Due to certain circumstances, Hina and her younger brother live together, but have a cheerful and sturdy life. Hina also has a certain power: the power to stop the rain and clear the sky. (Source: Anime News Network)",CoMix Wave,ORIGINAL,338351,1133244.0,362.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx106286-5COcpd0J9VbL.png,2019-07-19,2019-07-19,115.0,PG-13 - Teens 13 or older,38826.0
Devilman Crybaby,Devilman Crybaby,DEVILMAN crybaby,Action | Drama | Horror | Psychological | Supernatural,7.6,7.74,10.0,FINISHED,ONA,WINTER,2018.0,"New Devilman project marking Go Nagai's 50th anniversary as a creator.The protagonist Akira Fudou learns from his best friend, Ryou Asuka, that an ancient race of demons has returned to take back the world from humans. Ryou tells Akira that the only way to defeat the demons is to incorporate their supernatural powers, and suggests that he unite with a demon himself. Akira succeeds in transforming into Devilman, who possesses both the powers of a demon and the soul of a human. The battle of Devilman and Akira Fudou begins. (Source: Netflix)",Science SARU,MANGA,338003,1279819.0,1342.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx98460-bLtH2c3jd6sV.png,2018-01-05,2018-01-05,25.0,R+ - Mild Nudity,35120.0
"Love, Chunibyo & Other Delusions","Love, Chunibyo & Other Delusions",Chuunibyou demo Koi ga Shitai!,Comedy | Drama | Romance | Slice of Life,7.6,7.7,12.0,FINISHED,TV,FALL,2012.0,"Everybody has had that stage in their life where they have thought themselves to be special, different from the masses of ordinary humans. They might go as far as seeing themselves capable of wielding mystical powers, or maybe even believe themselves to have descended from a fantasy realm. This ""disease"" is known as ""chuunibyou"" and is often the source of some of the most embarrassing moments of a person's life. For Yuuta Togashi, the scars that his chuunibyou has left behind are still fresh. Having posed as the ""Dark Flame Master"" during his middle school years, he looks back at those times with extreme embarrassment, so much so that he decides to attend a high school far away where nobody will recognize him. Putting his dark history behind him, he longs to live a normal high school life. Unfortunately, he hasn't escaped his past yet: enter Rikka Takanashi, Yuuta's new classmate and self-declared vessel of the ""Wicked Eye."" As this eccentric young girl crashes into Yuuta's life, his dream of an ordinary, chuunibyou-free life quickly crumbles away. In this hilarious and heartwarming story of a boy who just wants to leave his embarrassing memories behind, the delusions of old are far from a thing of the past. (Source: MAL Rewrite)",Kyoto Animation,LIGHT_NOVEL,336367,1466990.0,1473.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx14741-CGXEIeUe2roA.jpg,2012-10-04,2012-12-20,24.0,PG-13 - Teens 13 or older,14741.0
Fate/Zero,Fate/Zero,Fate/Zero,Action | Drama | Fantasy | Supernatural,8.1,8.26,13.0,FINISHED,TV,FALL,2011.0,"With the promise of granting any wish, the omnipotent Holy Grail triggered three wars in the past, each too cruel and fierce to leave a victor. In spite of that, the wealthy Einzbern family is confident that the Fourth Holy Grail War will be different; namely, with a vessel of the Holy Grail now in their grasp. Solely for this reason, the much hated ""Magus Killer"" Kiritsugu Emiya is hired by the Einzberns, with marriage to their only daughter Irisviel as binding contract. Kiritsugu now stands at the center of a cutthroat game of survival, facing off against six other participants, each armed with an ancient familiar, and fueled by unique desires and ideals. Accompanied by his own familiar, Saber, the notorious mercenary soon finds his greatest opponent in Kirei Kotomine, a priest who seeks salvation from the emptiness within himself in pursuit of Kiritsugu. Based on the light novel written by Gen Urobuchi, Fate/Zero depicts the events of the Fourth Holy Grail War—10 years prior to Fate/stay night. Witness a battle royale in which no one is guaranteed to survive. (Source: MAL Rewrite) Note: The first episode aired with a runtime of ~48 minutes as opposed to the standard 24 minute long episode.",ufotable,LIGHT_NOVEL,336053,1606200.0,370.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx10087-M4Hd9qrHGrXk.png,2011-10-02,2011-12-25,24.0,R - 17+ (violence & profanity),10087.0
